ICS_Code,Station
1003006,ABBEY ROAD
1001002,ACTON CENTRAL
1000002,ACTON TOWN
1000003,ALDGATE
1000004,ALDGATE EAST
1002003,ALL SAINTS
1000005,ALPERTON
1000006,AMERSHAM
1001007,ANERLEY
1000007,ANGEL
1000008,ARCHWAY
1000009,ARNOS GROVE
1000010,ARSENAL
1000011,BAKER STREET
1000012,BALHAM
1000013,BANK
1000014,BARBICAN
1000015,BARKING
1000016,BARKINGSIDE
1000017,BARONS COURT
1000018,BAYSWATER
1002011,BECKTON
1002012,BECKTON PARK
1000019,BECONTREE
1000020,BELSIZE PARK
1000021,BERMONDSEY
1000022,BETHNAL GREEN
1001023,BETHNAL GREEN NR
1000023,BLACKFRIARS
1000024,BLACKHORSE ROAD
1002018,BLACKWALL
1000025,BOND STREET
1000026,BOROUGH
1000027,BOSTON MANOR
1000028,BOUNDS GREEN
1002019,BOW CHURCH
1000029,BOW ROAD
1000030,BRENT CROSS
1000292,BRENTWOOD
1000031,BRIXTON
1001035,BROCKLEY
1000032,BROMLEY BY BOW
1001038,BRONDESBURY
1001039,BRONDESBURY PARK
1001040,BRUCE GROVE
1000033,BUCKHURST HILL
1000034,BURNT OAK
1001041,BUSHEY
1001042,BUSH HILL PARK
1000035,CALEDONIAN ROAD
1001043,CALEDONIAN ROAD & BARNSBURY
1001044,CAMBRIDGE HEATH
1001045,CAMDEN ROAD
1000036,CAMDEN TOWN
1000037,CANADA WATER
1000038,CANARY WHARF LU STATION
1003008,CANARY WHARF DLR STATION
1000039,CANNING TOWN
1000040,CANNON STREET
1001048,CANONBURY
1000041,CANONS PARK
1001049,CARPENDERS PARK
1001055,CHADWELL HEATH
1000042,CHALFONT & LATIMER
1000043,CHALK FARM
1000044,CHANCERY LANE
1000045,CHARING CROSS
1000046,CHESHAM
1001532,CHESHUNT
1000047,CHIGWELL
1001063,CHINGFORD
1000048,CHISWICK PARK
1000049,CHORLEYWOOD
1000050,CLAPHAM COMMON
1001069,CLAPHAM JUNCTION
1000051,CLAPHAM NORTH
1000052,CLAPHAM SOUTH
1001070,CLAPTON
1000053,COCKFOSTERS
1000054,COLINDALE
1000055,COLLIERS WOOD
1000056,COVENT GARDEN
1002025,CROSSHARBOUR
1001077,CROUCH HILL
1000057,CROXLEY
1001078,CRYSTAL PALACE
1001079,CUSTOM HOUSE
1002027,CUTTY SARK
1002028,CYPRUS
1000058,DAGENHAM EAST
1000059,DAGENHAM HEATHWAY
1001568,DALSTON JUNCTION
1001081,DALSTON KINGSLAND
1000060,DEBDEN
1002029,DEPTFORD BRIDGE
1002030,DEVONS ROAD
1000061,DOLLIS HILL
1000062,EALING BROADWAY
1000063,EALING COMMON
1000064,EARL'S COURT
1000065,EAST ACTON
1000067,EAST FINCHLEY
1000068,EAST HAM
1002033,EAST INDIA
1000069,EAST PUTNEY
1000066,EASTCOTE
1001092,EDMONTON GREEN
1000070,EDGWARE
1000071,EDGWARE ROAD (BAKERLOO LINE)
1000072,EDGWARE ROAD (CIRCLE LINE)
1000073,ELEPHANT & CASTLE
1000074,ELM PARK
1002035,ELVERSON ROAD
1000075,EMBANKMENT
1001098,EMERSON PARK
1001101,ENFIELD TOWN
1000076,EPPING
1000077,EUSTON
1000078,EUSTON SQUARE
1000079,FAIRLOP
1000080,FARRINGDON
1000081,FINCHLEY CENTRAL
1000082,FINCHLEY ROAD
1001109,FINCHLEY ROAD & FROGNAL
1000083,FINSBURY PARK
1001111,FOREST GATE
1001112,FOREST HILL
1000084,FULHAM BROADWAY
1002039,GALLIONS REACH
1000085,GANTS HILL
1001115,GIDEA PARK
1000086,GLOUCESTER ROAD
1000087,GOLDERS GREEN
1000088,GOLDHAWK ROAD
1000089,GOODGE STREET
1001117,GOODMAYES
1001119,GOSPEL OAK
1000090,GRANGE HILL
1000093,GREEN PARK
1000092,GREENFORD
1001123,GREENWICH
1000091,GT PORTLAND STREET
1000094,GUNNERSBURY
1001127,HACKNEY CENTRAL
1001128,HACKNEY DOWNS
1001129,HACKNEY WICK
1001569,HAGGERSTON
1000095,HAINAULT
1000096,HAMMERSMITH (DISTRICT LINE)
1000097,HAMMERSMITH (H&C LINE)
1000098,HAMPSTEAD
1001131,HAMPSTEAD HEATH
1000099,HANGER LANE
1000100,HARLESDEN
1001137,HAROLD WOOD
1001139,HARRINGAY GREEN LANES
1000101,HARROW & WEALDSTONE
1000102,HARROW ON THE HILL
1001142,HATCH END
1000103,HATTON CROSS
1001146,HEADSTONE LANE
1000105,HEATHROW TERMINALS 123
1000104,HEATHROW TERMINAL 4
1016430,HEATHROW TERMINAL 5
1000106,HENDON CENTRAL
1002046,HERON QUAYS
1000107,HIGH BARNET
1000110,HIGH ST KENSINGTON
1001150,HIGHAMS PARK
1000108,HIGHBURY & ISLINGTON
1000109,HIGHGATE
1000111,HILLINGDON
1000112,HOLBORN
1000113,HOLLAND PARK
1000114,HOLLOWAY ROAD
1001153,HOMERTON
1001154,HONOR OAK PARK
1000115,HORNCHURCH
1000116,HOUNSLOW CENTRAL
1000117,HOUNSLOW EAST
1000118,HOUNSLOW WEST
1001570,HOXTON
1000119,HYDE PARK CORNER
1000120,ICKENHAM
1001157,ILFORD
1001347,IMPERIAL WHARF
1002048,ISLAND GARDENS
1000121,KENNINGTON
1000122,KENSAL GREEN
1000170,KENSINGTON (OLYMPIA)
1001161,KENSAL RISE
1000123,KENTISH TOWN
1001165,KENTISH TOWN WEST
1000124,KENTON
1000125,KEW GARDENS
1000126,KILBURN
1001170,KILBURN HIGH ROAD
1000127,KILBURN PARK
1000129,KING'S CROSS ST PANCRAS
1002009,KING GEORGE V
1000128,KINGSBURY
1000130,KNIGHTSBRIDGE
1000131,LADBROKE GROVE
1000132,LAMBETH NORTH
1000133,LANCASTER GATE
1002034,LANGDON PARK
1000134,LATIMER ROAD
1000135,LEICESTER SQUARE
1001177,LEWISHAM
1000136,LEYTON
1001178,LEYTON MIDLAND ROAD
1000137,LEYTONSTONE
1001179,LEYTONSTONE HIGH ROAD
1001180,LIMEHOUSE
1000138,LIVERPOOL STREET
1000139,LONDON BRIDGE
1002000,LONDON CITY AIRPORT
1001183,LONDON FIELDS
1000140,LOUGHTON
1000141,MAIDA VALE
1000142,MANOR HOUSE
1001189,MANOR PARK
1000143,MANSION HOUSE
1000144,MARBLE ARCH
1000145,MARYLEBONE
1001190,MARYLAND
1000146,MILE END
1000147,MILL HILL EAST
1000148,MONUMENT
1000149,MOORGATE
1000150,MOOR PARK
1000151,MORDEN
1000152,MORNINGTON CRESCENT
1002061,MUDCHUTE
1000153,NEASDEN
1000154,NEWBURY PARK
1000155,NEW CROSS
1000156,NEW CROSS GATE
1000157,NORTH ACTON
